,Beverage_category,Beverage,Beverage_prep,Calories,Total Fat,Trans Fat,Saturated Fat,Sodium,Total Carbohydrates,Cholesterol,Dietary Fibre,Sugars,Protein,Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine
124,Tazo® Tea Drinks,Tazo® Green Tea Latte,Grande Nonfat Milk,290.0,0.5,0.2,0.0,10.0,160.0,57.0,1.0,56.0,14.0,0.25,0.15,0.45,0.4,80.0
125,Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,350.0,8.0,4.0,0.2,30.0,180.0,57.0,1.0,55.0,14.0,0.2,0.15,0.45,0.4,80.0
126,Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,310.0,6.0,1.0,0.0,0.0,140.0,50.0,3.0,46.0,11.0,0.15,0.15,0.45,0.25,80.0
127,Tazo® Tea Drinks,Tazo® Green Tea Latte,Venti Nonfat Milk,370.0,0.5,0.3,0.0,10.0,200.0,73.0,2.0,71.0,18.0,0.3,0.2,0.6,0.6,110.0
128,Tazo® Tea Drinks,Tazo® Green Tea Latte,2% Milk,450.0,10.0,5.0,0.3,40.0,230.0,72.0,2.0,71.0,17.0,0.25,0.2,0.5,0.6,110.0
129,Tazo® Tea Drinks,Tazo® Green Tea Latte,Soymilk,390.0,8.0,1.0,0.0,0.0,180.0,64.0,4.0,58.0,14.0,0.2,0.2,0.6,0.3,110.0
130,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Short Nonfat Milk,80.0,0.1,0.1,0.0,0.0,45.0,16.0,0.0,16.0,4.0,0.6,0.0,0.1,0.0,86.25188446998649
131,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,90.0,2.0,1.0,0.1,10.0,50.0,15.0,0.0,15.0,3.0,0.6,0.0,0.1,0.0,89.50943061007138
132,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,80.0,1.5,0.2,0.0,0.0,40.0,14.0,0.0,13.0,3.0,0.4,0.0,0.1,0.6,87.30724059084265
133,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Tall Nonfat Milk,120.0,0.1,0.1,0.0,5.0,65.0,23.0,0.0,23.0,5.0,0.1,0.0,0.2,0.0,84.61981729067283
134,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,140.0,3.0,1.5,0.1,15.0,75.0,23.0,0.0,23.0,5.0,0.8,0.0,0.15,0.0,88.16165193290382
135,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,130.0,2.5,0.3,0.0,0.0,60.0,21.0,1.0,19.0,4.0,0.6,0.0,0.2,0.8,85.21679597079626
136,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Grande Nonfat Milk,150.0,0.2,0.1,0.0,5.0,85.0,31.0,0.0,31.0,7.0,0.15,0.0,0.25,0.0,81.8751067664736
137,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,190.0,4.0,2.0,0.1,15.0,95.0,31.0,0.0,30.0,7.0,0.1,0.0,0.25,0.0,85.45154442776075
138,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,170.0,3.5,0.4,0.0,0.0,80.0,27.0,1.0,25.0,6.0,0.8,0.0,0.25,0.1,84.05719112961455
139,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti Nonfat Milk,190.0,0.2,0.1,0.0,5.0,110.0,39.0,0.0,39.0,9.0,0.15,0.0,0.3,0.0,80.04447697455191
140,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,2% Milk,230.0,5.0,2.5,0.2,20.0,125.0,38.0,0.0,38.0,9.0,0.15,0.0,0.3,0.0,86.07768428964891
141,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Soymilk,210.0,4.0,0.5,0.0,0.0,100.0,34.0,1.0,32.0,7.0,0.1,0.0,0.3,0.15,81.96686838163548
142,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Short Nonfat Milk,80.0,0.1,0.1,0.0,0.0,45.0,16.0,0.0,16.0,4.0,0.6,0.0,0.1,0.0,0.0
143,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,90.0,2.0,1.0,0.1,10.0,50.0,15.0,0.0,15.0,3.0,0.6,0.0,0.1,0.0,0.0
144,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,80.0,1.5,0.2,0.0,0.0,40.0,14.0,0.0,13.0,3.0,0.4,0.0,0.1,0.6,0.0
145,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall Nonfat Milk,120.0,0.1,0.1,0.0,5.0,65.0,23.0,0.0,23.0,5.0,0.1,0.0,0.2,0.0,0.0
146,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,140.0,3.0,1.5,0.1,15.0,75.0,23.0,0.0,23.0,5.0,0.8,0.0,0.15,0.0,0.0
147,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,130.0,2.5,0.3,0.0,0.0,60.0,21.0,1.0,19.0,4.0,0.6,0.0,0.2,0.8,0.0
148,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande Nonfat Milk,150.0,0.2,0.1,0.0,5.0,85.0,31.0,0.0,31.0,7.0,0.15,0.0,0.25,0.0,0.0
149,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,190.0,4.0,2.0,0.1,15.0,95.0,31.0,0.0,30.0,7.0,0.1,0.0,0.25,0.0,0.0
150,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,170.0,3.5,0.4,0.0,0.0,80.0,27.0,1.0,25.0,6.0,0.8,0.0,0.25,0.1,0.0
151,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti Nonfat Milk,190.0,0.2,0.1,0.0,5.0,110.0,39.0,0.0,39.0,9.0,0.15,0.0,0.3,0.0,0.0
152,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),2% Milk,230.0,5.0,2.5,0.2,20.0,125.0,38.0,0.0,38.0,9.0,0.15,0.0,0.3,0.0,0.0
153,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Soymilk,210.0,4.0,0.5,0.0,0.0,100.0,34.0,1.0,32.0,7.0,0.1,0.0,0.3,0.15,0.0
154,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Tall,60.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,120.0
155,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,90.0,0.1,0.0,0.0,0.0,5.0,21.0,0.0,21.0,0.3,0.0,0.0,0.0,0.0,165.0
156,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,130.0,0.1,0.0,0.0,0.0,5.0,31.0,0.0,31.0,0.4,0.0,0.0,0.0,0.0,235.0
157,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall Nonfat Milk,80.0,0.1,0.0,0.0,0.0,25.0,18.0,0.0,18.0,2.0,0.2,0.0,0.6,0.0,90.0
158,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,90.0,1.0,0.5,0.0,5.0,25.0,18.0,0.0,18.0,2.0,0.2,0.0,0.6,0.0,80.18734322247627
159,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,80.0,1.0,0.1,0.0,0.0,20.0,17.0,0.0,17.0,2.0,0.2,0.0,0.6,0.0,90.0
160,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande Nonfat Milk,110.0,0.1,0.0,0.0,0.0,30.0,24.0,0.0,24.0,2.0,0.4,0.0,0.8,0.2,90.0
161,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,120.0,1.5,0.5,0.0,5.0,35.0,24.0,0.0,24.0,2.0,0.4,0.0,0.8,0.0,125.0
162,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,110.0,1.0,0.1,0.0,0.0,30.0,23.0,0.0,22.0,2.0,0.2,0.0,0.8,0.0,125.0
163,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Nonfat Milk,160.0,0.1,0.1,0.0,0.0,50.0,36.0,0.0,36.0,4.0,0.6,0.0,0.1,0.4,125.0
164,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,180.0,2.0,1.0,0.1,10.0,55.0,36.0,0.0,36.0,4.0,0.6,0.0,0.1,0.0,170.0
165,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,170.0,1.5,0.2,0.0,0.0,45.0,34.0,0.0,33.0,3.0,0.4,0.0,0.1,0.0,170.0
166,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Tall,60.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.6,170.0
167,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Grande,80.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,71.09547479402606
168,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Venti,120.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,61.511232799979986
169,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Tall,100.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,24.0,0.1,0.0,0.1,0.0,0.0,67.50854877499513
170,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Grande,130.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.1,0.0,0.15,0.0,0.0,59.537501399198476
171,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Venti,190.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.1,0.0,0.2,0.0,0.0,44.31098383044499
172,Smoothies,Banana Chocolate Smoothie,Grande Nonfat Milk,280.0,2.5,1.5,0.0,5.0,150.0,53.0,7.0,34.0,20.0,0.1,0.15,0.2,0.0,81.99316521525483
173,Smoothies,Banana Chocolate Smoothie,2% Milk,300.0,5.0,2.5,0.1,15.0,160.0,53.0,7.0,34.0,20.0,0.8,0.15,0.2,0.2,15.0
174,Smoothies,Banana Chocolate Smoothie,Soymilk,290.0,4.5,1.5,0.0,5.0,150.0,51.0,7.0,31.0,19.0,0.6,0.15,0.2,0.2,15.0
175,Smoothies,Orange Mango Banana Smoothie,Grande Nonfat Milk,260.0,1.0,0.3,0.0,5.0,120.0,54.0,6.0,37.0,16.0,0.5,0.8,0.1,0.3,15.0
176,Smoothies,Orange Mango Banana Smoothie,2% Milk,270.0,1.5,0.5,0.0,5.0,125.0,53.0,6.0,37.0,16.0,0.5,0.8,0.1,0.6,0.0
177,Smoothies,Orange Mango Banana Smoothie,Soymilk,270.0,1.5,0.4,0.0,5.0,120.0,53.0,6.0,36.0,15.0,0.5,0.8,0.1,0.6,0.0
178,Smoothies,Strawberry Banana Smoothie,Grande Nonfat Milk,290.0,1.0,0.3,0.0,5.0,125.0,58.0,7.0,41.0,16.0,0.4,0.1,0.1,0.8,0.0
179,Smoothies,Strawberry Banana Smoothie,2% Milk,290.0,2.0,1.0,0.0,5.0,125.0,58.0,7.0,41.0,16.0,0.4,0.1,0.1,0.8,0.0
180,Smoothies,Strawberry Banana Smoothie,Soymilk,290.0,2.0,0.4,0.0,5.0,120.0,58.0,8.0,40.0,16.0,0.2,0.1,0.1,0.8,0.0
181,Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,160.0,0.1,0.0,0.0,0.0,160.0,36.0,0.0,36.0,3.0,0.4,0.0,0.1,0.1,0.0
182,Frappuccino® Blended Coffee,Coffee,Whole Milk,180.0,2.5,1.5,0.1,10.0,160.0,36.0,0.0,36.0,3.0,0.4,0.0,0.8,0.0,70.0
183,Frappuccino® Blended Coffee,Coffee,Soymilk,160.0,1.5,0.2,0.0,0.0,150.0,35.0,0.0,34.0,2.0,0.4,0.0,0.1,0.0,70.0
184,Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,220.0,0.1,0.1,0.0,0.0,210.0,51.0,0.0,50.0,4.0,0.6,0.0,0.1,0.4,70.0
185,Frappuccino® Blended Coffee,Coffee,Whole Milk,240.0,3.0,2.0,0.1,10.0,220.0,50.0,0.0,50.0,3.0,0.4,0.0,0.1,0.0,95.0
186,Frappuccino® Blended Coffee,Coffee,Soymilk,220.0,1.5,0.2,0.0,0.0,210.0,49.0,0.0,47.0,3.0,0.4,0.0,0.1,0.0,95.0
187,Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,310.0,0.1,0.1,0.0,5.0,300.0,70.0,0.0,69.0,6.0,0.1,0.0,0.2,0.6,95.0
188,Frappuccino® Blended Coffee,Coffee,Whole Milk,350.0,5.0,3.0,0.2,15.0,300.0,70.0,0.0,69.0,5.0,0.8,0.0,0.15,0.2,130.0
189,Frappuccino® Blended Coffee,Coffee,Soymilk,310.0,2.5,0.3,0.0,0.0,300.0,68.0,1.0,66.0,5.0,0.6,0.0,0.2,0.2,130.0
190,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Nonfat Milk,180.0,0.5,0.4,0.0,0.0,150.0,42.0,1.0,40.0,3.0,0.4,0.0,0.1,0.8,130.0
191,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,200.0,3.0,2.0,0.1,10.0,160.0,42.0,1.0,40.0,3.0,0.4,0.0,0.8,0.6,70.0
192,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,180.0,2.0,0.5,0.0,0.0,150.0,40.0,1.0,38.0,3.0,0.4,0.0,0.1,0.1,70.0
193,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Nonfat Milk,260.0,1.0,0.5,0.0,0.0,220.0,61.0,1.0,58.0,4.0,0.6,0.0,0.1,0.8,110.0
194,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,290.0,4.0,2.5,0.1,10.0,220.0,61.0,1.0,58.0,4.0,0.4,0.0,0.1,0.8,110.0
195,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,260.0,2.5,0.5,0.0,0.0,220.0,59.0,1.0,55.0,4.0,0.4,0.0,0.1,0.15,110.0
196,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Nonfat Milk,340.0,1.0,0.5,0.0,5.0,300.0,80.0,1.0,76.0,7.0,0.1,0.0,0.15,0.1,140.0
197,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,390.0,6.0,3.5,0.1,15.0,300.0,80.0,1.0,76.0,6.0,0.8,0.0,0.15,0.1,140.0
198,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,350.0,3.0,1.0,0.0,0.0,290.0,78.0,2.0,73.0,6.0,0.6,0.0,0.2,0.2,140.0
199,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,180.0,0.1,0.0,0.0,0.0,160.0,42.0,0.0,41.0,3.0,0.4,0.0,0.1,0.0,70.0
200,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,200.0,2.5,1.5,0.1,10.0,160.0,42.0,0.0,41.0,3.0,0.4,0.0,0.8,0.0,70.0
201,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,180.0,1.5,0.2,0.0,0.0,150.0,40.0,0.0,39.0,2.0,0.4,0.0,0.1,0.4,70.0
202,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Nonfat Milk,280.0,0.1,0.1,0.0,0.0,220.0,60.0,0.0,59.0,4.0,0.6,0.0,0.1,0.0,100.0
203,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,280.0,3.5,2.0,0.1,10.0,220.0,60.0,0.0,59.0,3.0,0.4,0.0,0.1,0.0,100.0
204,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,260.0,1.5,0.2,0.0,0.0,220.0,58.0,0.0,56.0,3.0,0.4,0.0,0.1,0.6,100.0
205,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Nonfat Milk,330.0,0.1,0.1,0.0,5.0,290.0,78.0,0.0,77.0,5.0,0.1,0.0,0.15,0.2,130.0
206,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,370.0,5.0,3.0,0.1,15.0,300.0,78.0,0.0,77.0,5.0,0.8,0.0,0.15,0.2,130.0
207,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,340.0,2.5,0.3,0.0,0.0,290.0,75.0,1.0,73.0,5.0,0.6,0.0,0.2,0.8,130.0
208,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220.0,3.0,2.0,0.0,0.0,170.0,47.0,1.0,44.0,4.0,0.4,0.0,0.1,0.2,75.0
209,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,240.0,5.0,3.5,0.1,10.0,170.0,47.0,1.0,44.0,4.0,0.4,0.0,0.8,0.2,75.0
210,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,220.0,4.0,2.5,0.0,0.0,170.0,45.0,1.0,42.0,3.0,0.4,0.0,0.1,0.2,75.0
211,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310.0,4.0,3.0,0.0,0.0,250.0,67.0,2.0,62.0,5.0,0.6,0.0,0.1,0.25,110.0
212,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,340.0,7.0,5.0,0.1,10.0,250.0,67.0,2.0,62.0,5.0,0.4,0.0,0.1,0.25,110.0
213,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,310.0,6.0,3.5,0.0,0.0,240.0,65.0,2.0,60.0,4.0,0.4,0.0,0.1,0.3,110.0
214,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420.0,5.0,4.0,0.0,5.0,340.0,90.0,2.0,84.0,7.0,0.1,0.0,0.2,0.35,145.0
215,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,460.0,10.0,7.0,0.2,15.0,340.0,90.0,2.0,84.0,7.0,0.6,0.0,0.15,0.35,145.0
216,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,430.0,8.0,4.5,0.0,0.0,330.0,88.0,3.0,80.0,6.0,0.6,0.0,0.2,0.4,145.0
217,Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90.0,0.1,0.0,0.0,0.0,160.0,20.0,0.0,19.0,3.0,0.4,0.0,0.1,0.0,70.0
218,Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120.0,0.1,0.1,0.0,0.0,210.0,26.0,0.0,26.0,3.0,0.6,0.0,0.1,0.0,95.0
219,Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160.0,0.1,0.1,0.0,5.0,270.0,34.0,0.0,33.0,5.0,0.8,0.0,0.15,0.2,120.0
220,Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110.0,0.5,0.4,0.0,0.0,150.0,24.0,1.0,23.0,3.0,0.4,0.0,0.8,0.6,70.0
221,Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150.0,1.0,0.5,0.0,0.0,200.0,33.0,1.0,30.0,4.0,0.6,0.0,0.1,0.8,95.0
222,Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210.0,1.0,0.5,0.0,5.0,280.0,46.0,1.0,42.0,6.0,0.8,0.0,0.15,0.1,130.0
223,Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100.0,0.1,0.0,0.0,0.0,140.0,23.0,0.0,23.0,3.0,0.4,0.0,0.8,0.0,65.0
224,Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150.0,0.1,0.1,0.0,0.0,200.0,33.0,0.0,32.0,3.0,0.6,0.0,0.1,0.0,90.0
225,Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200.0,0.1,0.1,0.0,5.0,270.0,44.0,0.0,43.0,5.0,0.8,0.0,0.15,0.2,120.0
226,Frappuccino® Light Blended Coffee,Java Chip,Tall Nonfat Milk,150.0,3.0,2.0,0.0,0.0,170.0,30.0,1.0,27.0,4.0,0.4,0.0,0.1,0.2,70.0
227,Frappuccino® Light Blended Coffee,Java Chip,Grande Nonfat Milk,220.0,4.0,3.0,0.0,0.0,240.0,43.0,2.0,39.0,5.0,0.6,0.0,0.1,0.25,105.0
228,Frappuccino® Light Blended Coffee,Java Chip,Venti Nonfat Milk,290.0,5.0,4.0,0.0,5.0,320.0,58.0,2.0,52.0,7.0,0.8,0.0,0.15,0.35,165.0
229,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Nonfat Milk,170.0,0.1,0.1,0.0,0.0,140.0,39.0,0.0,38.0,3.0,0.6,0.6,0.1,0.2,0.0
230,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,190.0,3.0,1.5,0.1,10.0,140.0,38.0,0.0,37.0,3.0,0.4,0.6,0.1,0.2,0.0
231,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,170.0,1.5,0.2,0.0,0.0,135.0,37.0,1.0,35.0,3.0,0.4,0.6,0.1,0.6,0.0
232,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230.0,0.2,0.1,0.0,0.0,190.0,53.0,0.0,52.0,4.0,0.8,0.6,0.15,0.4,0.0
233,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,260.0,4.0,2.0,0.1,10.0,190.0,53.0,0.0,52.0,4.0,0.6,0.6,0.15,0.4,0.0
234,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,240.0,2.0,0.2,0.0,0.0,180.0,51.0,1.0,49.0,3.0,0.4,0.6,0.15,0.8,0.0
235,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Nonfat Milk,310.0,0.2,0.1,0.0,5.0,260.0,70.0,0.0,69.0,6.0,0.1,0.8,0.2,0.4,0.0
236,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,350.0,6.0,3.0,0.2,15.0,260.0,70.0,0.0,68.0,6.0,0.8,0.8,0.2,0.4,0.0
237,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,320.0,3.2,0.4,0.0,0.0,250.0,67.0,1.0,64.0,5.0,0.6,0.8,0.2,0.1,0.0
238,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170.0,0.1,0.1,0.0,0.0,160.0,39.0,0.0,38.0,4.0,0.6,0.0,0.1,0.0,0.0
239,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Whole Milk,200.0,3.5,2.0,0.1,10.0,160.0,39.0,0.0,38.0,3.0,0.6,0.0,0.1,0.0,0.0
240,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Soymilk,180.0,1.5,0.2,0.0,0.0,160.0,37.0,1.0,35.0,3.0,0.4,0.0,0.1,0.6,0.0
241,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240.0,0.1,0.1,0.0,5.0,230.0,56.0,0.0,55.0,5.0,0.8,0.0,0.15,0.0,0.0
